Description Words,Count,Description Bigrams,Count,Description Trigrams,Count,Objective Words,Count,Objective Bigrams,Count,Objective Trigrams,Count,Tag Words,Count,Tag Bigrams,Count,Tag Trigrams,Count,Everything Words,Count,Everything Bigrams,Count,Everything Trigrams,Count
across,138,"('interactive', 'session')",17,"('improve', 'student', 'engagement')",3,opportunities,97,"('prepare', 'students')",12,"('professional', 'learning', 'model')",4,success,23,"('global', 'education')",9,"('learning', 'arts', 'education')",3,media,252,"('case', 'studies')",31,"('social', 'media', 'education')",6
ways,138,"('Common', 'Core')",17,"('21st', 'century', 'learners')",3,programs,95,"('student', 'privacy')",12,"('help', 'students', 'learn')",4,centered,22,"('open', 'education')",9,"('higher', 'education', 'student')",3,own,249,"('next', 'generation')",31,"('learn', 'best', 'practices')",6
where,137,"('digital', 'tools')",15,"('iPad', '11', 'program')",3,future,90,"('learning', 'outcomes')",12,"('Attendees', 'gain', 'understanding')",4,maker,21,"('adaptive', 'learning')",9,"('professional', 'develompent', 'professional')",3,success,244,"('do', ""n't"")",30,"('inside', 'outside', 'classroom')",6
research,137,"('case', 'studies')",15,"('unique', 'learning', 'environments')",3,own,89,"('Attendees', 'understand')",12,"('best', 'practices', 'engaging')",4,training,21,"('math', 'education')",9,"('mobile', 'device', 'management')",3,'',242,"('career', 'readiness')",30,"('stop', 'motion', 'animation')",6
college,137,"('high', 'quality')",15,"('high', 'school', 'graduation')",3,'',88,"('gain', 'understanding')",12,"('21st', 'century', 'learning')",4,equality,21,"('3d', 'printing')",9,"('communications', 'public', 'relations')",3,research,234,"('competency-based', 'education')",30,"('help', 'students', 'learn')",6
strategies,136,"('education', 'technology')",15,"('Join', 'interactive', 'session')",3,success,88,"('learning', 'spaces')",12,"('Gain', 'deeper', 'understanding')",4,mobile,20,"('career', 'development')",9,"('teacher', 'leadership', 'teacher')",3,panel,232,"('digital', 'content')",29,"('English', 'Language', 'Learners')",6
experiences,135,"('session', 'learn')",14,"('We', ""'ll"", 'share')",3,used,87,"('Gain', 'insight')",12,"('Identify', 'best', 'practices')",4,tech,20,"('community', 'college')",8,"('&', 'learning', 'classroom')",3,impact,226,"('social', 'emotional')",29,"('21st', 'century', 'education')",6
program,134,"('learning', 'tools')",14,"('more', 'ingrained', 'everyday')",3,between,85,"('greater', 'understanding')",12,"('creative', 'learning', 'strategies')",4,global,19,"('classroom', 'application')",8,"('learning', 'professional', 'learning')",3,future,225,"('student', 'privacy')",29,"('iPad', '11', 'program')",6
thinking,133,"('21st', 'Century')",14,"('blended', 'learning', 'strategies')",3,media,85,"('digital', 'content')",11,"('specific', 'strategies', 'implementing')",4,research,19,"('student', 'engagement')",8,"('video', 'storytelling', 'video')",3,STEM,225,"('it', ""'s"")",29,"('teacher', 'professional', 'development')",6
success,133,"('virtual', 'reality')",14,"('experience', 'rolling', 'programs')",3,why,85,"('practices', 'Participants')",11,"('Session', 'attendees', 'understand')",3,content,19,"('learning', 'environments')",8,"('decision', 'making', 'data')",3,professional,225,"('education', 'system')",29,"('bridge', 'gap', 'between')",6
higher,132,"('social', 'emotional')",14,"('reflect', 'trend', 'become')",3,thinking,82,"('across', 'country')",11,"('attending', 'participant', 'able')",3,competency-based,19,"('higher', 'ed')",8,"('higher', 'education', 'community')",3,engagement,222,"('Common', 'Core')",28,"('middle', 'school', 'students')",6
high,131,"('learning', 'outcomes')",14,"('young', 'men', 'color')",3,teacher,80,"('Participants', 'explore')",11,"('create', 'different', 'learning')",3,based,19,"('big', 'data')",8,"('learning', 'instructional', 'design')",3,``,220,"('special', 'education')",28,"('student', 'data', 'privacy')",6
ideas,128,"('panel', 'explore')",14,"('educators', 'faced', 'implementing')",3,STEM,79,"('develop', 'understanding')",11,"('iPad', '11', 'program')",3,creativity,19,"('learning', 'digital')",8,"('online', 'education', 'higher')",3,need,218,"('online', 'education')",28,"('open', 'education', 'resources')",6
needs,126,"('session', 'discuss')",14,"('improving', 'student', 'outcomes')",3,current,78,"('ed', 'tech')",11,"('engaging', 'learning', 'spaces')",3,marketing,19,"('arts', 'education')",8,"('education', 'edtech', 'innovation')",3,understand,218,"('learning', 'spaces')",28,"('best', 'practices', 'building')",6
been,123,"('educational', 'technology')",13,"('County', 'Public', 'Schools')",3,research,78,"('based', 'learning')",11,"('Audience', 'members', 'understand')",3,access,18,"('ed', 'edtech')",8,"('learning', 'analytics', 'engagement')",3,edtech,215,"('today', ""'s"")",27,"('personalized', 'professional', 'learning')",6
challenges,121,"('much', 'more')",13,"('engage', 'students', 'STEM')",3,innovative,77,"('high', 'school')",11,"('technology', 'being', 'used')",3,math,18,"('educational', 'equality')",8,"('higher', 'education', 'competency-based')",3,provide,213,"('student', 'voice')",27,"('level', 'playing', 'field')",6
