Description Words,Count,Description Bigrams,Count,Description Trigrams,Count,Tag Words,Count,Tag Bigrams,Count,Tag Trigrams,Count,Everything Words,Count,Everything Bigrams,Count,Everything Trigrams,Count
science,33,"('district', 'leaders')",5,"('blended', 'online', 'learning')",2,improv,5,"('maker', 'education')",3,"('culturally', 'responsive', 'education')",2,access,37,"('interactive', 'session')",6,"('english', 'language', 'learner')",3
online,33,"('next', 'generation')",5,"('making', 'tinkering', 'guide')",2,arts,5,"('learning', 'disabilities')",3,"('blended', 'learning', 'competency-based')",2,solutions,37,"('learning', 'tools')",6,"('next', 'workshops', 'Ready')",3
innovation,33,"('Project', 'Based')",5,"('planning', 'advising', 'student')",2,strategy,5,"('credit', 'project')",3,"('credit', 'k12', 'education')",2,STEM,36,"('credit', 'personalized')",6,"('others', 'summits', 'culminating')",3
making,33,"('own', 'learning')",5,"('hear', 'students', 'enrolled')",2,teachers,5,"('skills', 'gap')",3,"('community', 'college', 'cpe')",2,using,36,"('Based', 'Learning')",6,"('Hosted', 'WISE', 'Initiative')",3
improve,33,"('panel', 'explore')",5,"('Roll', 'Forever', 'Foundation')",2,transformation,5,"('makers', 'cpe')",3,"('cpe', 'credit', 'early')",2,different,36,"('We', ""'ll"")",6,"('cpe', 'credit', 'makers')",3
higher,33,"('future', 'education')",5,"('K-12', 'schools', 'spend')",2,employability,5,"('education', 'leadership')",3,"('stem', '21st', 'century')",2,focus,36,"('students', 'teachers')",6,"('credit', 'blended', 'learning')",3
around,32,"('Civitas', 'Learning')",4,"('factors', 'effective', 'implementation')",2,inclusion,5,"('arts', 'education')",3,"('credit', 'cpe', 'credit')",2,edtech,35,"('special', 'education')",6,"('learn', 'others', 'summits')",3
provide,32,"('panel', 'share')",4,"('Minecraft', 'educational', 'tool')",2,problem,5,"('education', 'equity')",3,"('cpe', 'credit', 'collaboration')",2,creative,35,"('teacher', 'training')",6,"('continue', 'share', 'learn')",3
content,32,"('session', 'focus')",4,"('more', 'momentum', 'institutions')",2,students,5,"('teaching', '&')",3,"('cpe', 'credit', 'k12')",2,'',35,"('kids', 'learning')",6,"('higher', 'education', 'learning')",3
Education,32,"('#', 'WhoClass')",4,"('pressing', 'challenges', 'groundbreaking')",2,pbl,4,"('digital', 'learning')",3,"('online', 'learning', 'cpe')",2,``,35,"('explore', 'ways')",6,"('implementation', 'summit', 'and/or')",3
participants,32,"('science', 'engineering')",4,"('challenges', 'groundbreaking', 'triumphs')",2,exchange,4,"('equity', 'cpe')",3,"('education', 'makerspaces', 'edtech')",2,creating,35,"('higher', 'ed')",6,"('education', 'professional', 'development')",3
access,32,"('help', 'students')",4,"('discussion', 'Dan', 'Rather')",2,moocs,4,"('high', 'school')",3,"('design', 'cpe', 'credit')",2,leadership,34,"('gap', 'between')",6,"('credit', 'project', 'based')",3
issues,32,"('empower', 'students')",4,"('future', 'plans', 'drive')",2,language,4,"('reality', 'learning')",3,"('instructional', 'strategies', 'leadership')",2,professional,34,"('district', 'leaders')",6,"('plan', 'continue', 'next')",3
creative,31,"('Hosted', 'Pearson')",4,"('maker', 'classroom', 'where')",2,funding,4,"('credit', 'future')",2,"('environments', 'cpe', 'credit')",2,media,34,"('education', 'technology')",6,"('culminating', 'Happy', 'Hour')",3
change,31,"('Higher', 'Ed')",4,"('Hosted', 'Cengage', 'Learning')",2,management,4,"('entrepreneurship', 'edtech')",2,"('centered', 'learning', 'cpe')",2,Learning,34,"('too', 'often')",6,"('learning', 'teaching', '&')",3
while,31,"('what', ""'s"")",4,"('students', 'faculty', 'staff')",2,instruction,4,"('business', 'edtech')",2,"('credit', 'design', 'thinking')",2,making,34,"('learning', 'styles')",5,"('learning', 'competency-based', 'education')",3
used,31,"('brings', 'together')",4,"('comprehensive', 'programs', 'increase')",2,environments,4,"('training', 'professional')",2,"('teacher', 'education', 'professional')",2,&,34,"('students', 'global')",5,"('teaching', '&', 'learning')",3
practices,31,"('augmented', 'reality')",4,"('students', 'enrolled', 'three')",2,entrepreneurial,4,"('entrepreneurship', 'design')",2,"('credit', 'college', 'career')",2,change,33,"('Bill', '&')",5,"('specific', 'plan', 'continue')",3
personalized,31,"('learning', 'own')",4,"('Hosted', 'Finn', 'Partners')",2,implementation,4,"('disabilities', 'cpe')",2,"('innovation', 'learning', 'innovation')",2,practices,33,"('case', 'studies')",5,"('leadership', 'cpe', 'credit')",3
&,31,"('children', ""'s"")",4,"('panel', 'brings', 'together')",2,startups,4,"('learning', 'classroom')",2,"('creativity', 'problem', 'solving')",2,improve,33,"('arts', 'education')",5,"('analytics', 'civitas', 'learning')",3
better,30,"('share', 'lessons')",4,"('master', 'teachers', ""'"")",2,creative,4,"('makerspaces', 'edtech')",2,"('credit', 'virtual', 'reality')",2,issues,33,"('share', 'experiences')",5,"('Independent', 'School', 'District')",3
public,30,"('share', 'ideas')",4,"('important', 'factors', 'effective')",2,business,4,"('classroom', 'application')",2,"('credit', 'early', 'learning')",2,engagement,32,"('learning', 'design')",5,"('learning', 'personalized', 'learning')",2
build,30,"('engage', 'students')",4,"('compelling', 'profession', 'nation')",2,museum,4,"('design', 'instructional')",2,"('career', 'readiness', 'employability')",2,around,32,"('real', 'world')",5,"('technology', 'educational', 'equity')",2
why,30,"('school', 'leaders')",4,"('workshop', 'led', 'Buck')",2,entrepreneurialism,3,"('credit', 'coding')",2,"('higher', 'education', 'innovation')",2,provide,32,"('augmented', 'reality')",5,"('art', 'science', 'behind')",2
opportunity,29,"('meet', 'needs')",4,"('Institute', 'Education', 'staff')",2,children,3,"('education', 'marketing')",2,"('credit', 'game-based', 'learning')",2,Education,32,"('children', ""'s"")",5,"('development', 'cpe', 'credit')",2
potential,29,"('Teaching', 'Learning')",4,"('fresh', 'approaches', 'pressing')",2,learner,3,"('learning', 'community')",2,"('entrepreneurship', 'edtech', 'entrepreneurship')",2,public,32,"('thinking', 'cpe')",5,"('Hosted', 'Google', 'Google')",2
